0,1,2,3,4,5,6,7,8,9
4.71781233954971e-06,2.340246980452321e-06,1.5865853583818535e-06,3.565088943480177e-07,1.1427760176729861e-06,4.476286221688497e-07,1.1876647079134273e-06,8.929164414439583e-07,1.37701731262041e-07,7.059315514368336e-08
6.972354103709222e-06,3.269510493737471e-06,2.226692204629899e-06,4.986258351369344e-07,1.6346983981918584e-06,5.308881441123958e-07,1.8324756092624739e-06,6.803239489272528e-07,2.171024807040567e-07,8.157196052849259e-08
1.0264589409416658e-05,4.5108486153822015e-06,3.1202443892652807e-06,7.10631442073506e-07,2.266018868226638e-06,6.183541927384795e-07,2.7308610879117623e-06,1.6911626573801186e-07,3.219812151655788e-07,1.160952663781245e-07
1.5062898073665565e-05,6.248154242030068e-06,4.336182311419634e-06,1.0036940961555273e-06,3.2275645324375547e-06,6.942094046280545e-07,4.011543890101166e-06,8.911170215242237e-07,4.7153451873782617e-07,1.7936534234763713e-07
2.202441558438295e-05,8.558154667070994e-06,5.9592143840347946e-06,1.3787414826182952e-06,4.374137101166298e-06,7.247099347296171e-07,5.8490388073551e-06,2.8907172145409276e-06,6.877013902339968e-07,2.7969440793640385e-07
3.20832232318935e-05,1.1599075945838421e-05,8.077872592338054e-06,1.8654514836313752e-06,5.9807224328523034e-06,6.505053988803411e-07,8.488602566103509e-06,6.453045298258075e-06,1.003099275465047e-06,4.3056594734025566e-07
4.654682672480703e-05,1.571674112767596e-05,1.08177327751946e-05,2.5388265162007428e-06,8.345467716992517e-06,3.629107538927201e-07,1.2238742492627352e-05,1.254975270057912e-05,1.4672367251478136e-06,6.575765382876853e-07
6.723534119373653e-05,2.1147722577552486e-05,1.43803419078381e-05,3.390999790653382e-06,1.1454653307509943e-05,3.1888092166809656e-07,1.7548087125760503e-05,2.2653835294477176e-05,2.14491817587259e-06,9.90875612956188e-07
9.67041098192567e-05,2.809827654800756e-05,1.8745597278666536e-05,4.468368246861587e-06,1.5675204677449985e-05,1.6967370584097807e-06,2.5042216748261126e-05,3.9026809063216205e-05,3.135045010367321e-06,1.4718937632096641e-06
0.0001384871135087451,3.775905930524459e-05,2.384959791243091e-05,5.876462321623421e-06,2.1513594849693617e-05,4.25326788899838e-06,3.55909097379481e-05,6.507720350782619e-05,4.5772184239467605e-06,2.161614877422835e-06
0.00019741798911127262,5.045332432928262e-05,2.9419066186164856e-05,7.661487989167882e-06,2.930641196144279e-05,8.76731428434141e-06,5.0382046538288705e-05,0.00010584926523733884,6.673595908068819e-06,3.139493355774903e-06
0.000280061032390222,6.676153676380636e-05,3.47952178617561e-05,9.783807779228938e-06,3.941839784829426e-05,1.6452135241706856e-05,7.102742325514555e-05,0.00016874461820407305,9.714111870380293e-06,4.511385195655749e-06
0.0003951864363625646,8.754445820159162e-05,3.8695012790412875e-05,1.247690339539531e-05,5.272721302389982e-05,2.917355959652923e-05,9.95455284282798e-05,0.0002644094664719887,1.4109642343100859e-05,6.4373023724328956e-06
0.0005545668219565414,0.00011364992500602967,3.8893655582796784e-05,1.553868097346367e-05,6.940315191968694e-05,4.977762000635266e-05,0.0001388732483610511,0.0004081677587237209,2.0449634048418376e-05,9.087816138162453e-06
0.0007736451464006677,0.00014548207163898042,3.1556930625811216e-05,1.917329497018727e-05,9.088845606129325e-05,8.252598490798846e-05,0.0001927462435560301,0.0006217594805639237,2.955523712444119e-05,1.2710651171801146e-05
0.0010724159673554823,0.00018450220552040263,4.4079158578824716e-05,2.391061705509401e-05,0.00011803208932178677,0.00013372044486459345,0.00026639884235919454,0.0009343048423761502,4.25812128924008e-05,1.757020991135505e-05
0.0014760993688832968,0.00023233805681229568,0.00012186944091808982,2.876997369412493e-05,0.00015084191672940506,0.00021250455756671727,0.0003663682303158566,0.0013873811834491788,6.110075570177287e-05,2.4003515118238284e-05
0.002015788686694577,0.00028586120810359717,0.0002552345574076753,3.3992680623669e-05,0.0001897735344391549,0.0003320530231576413,0.0005014299959293566,0.002036109132459387,8.728946701012318e-05,3.237151688153972e-05
0.0027284796466119587,0.00034499899891670793,0.000473496068152599,3.971781469118696e-05,0.00023939634284033672,0.0005108064506202936,0.0006824964005500079,0.002952837459743023,0.0001240378391230479,4.301880275306758e-05
0.0036556960525922478,0.0004084818121918943,0.0008169616357190534,4.5030071188421065e-05,0.0002915089785165037,0.0007741433219052851,0.0009235739745781757,0.0042228341451846065,0.0001751291905384278,5.6167657949117714e-05
0.00484080845490098,0.0004769911626863177,0.0013399803428910673,5.091323316264606e-05,0.00035238995929830707,0.001155778649263084,0.001241540681803599,0.005960231721401215,0.00024538638535887003,7.187039227574132e-05
0.006322210896760225,0.000537685581803089,0.0021107083227252586,5.56653447415556e-05,0.00040617817983729765,0.0016986405244097114,0.0016586772893788294,0.008301469068974256,0.00034039224265143276,8.96006113907788e-05
0.008121399693191051,0.0005847537894169364,0.0032105476222932337,5.95696514710653e-05,0.0004596569242130499,0.002453685039654374,0.0021986246854066847,0.011371979098767042,0.00046616382780484856,0.00010817691159900278
0.010220891204662621,0.0006104979561314394,0.004721724661067128,6.209882753182682e-05,0.00048393376295280177,0.0034739014226943254,0.0028870794229442255,0.01527322079986334,0.0006273452937602997,0.00012542599535663612
0.012532258499413728,0.0006007829457666958,0.00670405091252178,6.510912709472904e-05,0.0004788967644708464,0.0047999173402786255,0.0037445124937221406,0.020018990114331246,0.0008241839695256203,0.0001379999399796361
0.014845293294638396,0.0005524410154976068,0.009144054434727877,7.15710930194291e-05,0.00043403202089393745,0.00642613647505641,0.004771660012193024,0.02542552411556244,0.001046364742796868,0.00014165939142003482
0.016753884609788657,0.0004566428500038455,0.01185336584225297,8.572596874728333e-05,0.0003237750264815986,0.008238092996180058,0.005883155423216522,0.03085542120039463,0.0012607675511389972,0.0001468073702562833
0.017565598636865618,0.00034463968251657206,0.01429274674039334,0.00011216017003789602,0.00015822872436729084,0.009884544648230076,0.006937536265468225,0.03506878079846501,0.0014009575848467648,0.00014384405258169864
0.016232350459322333,0.00028007767265080473,0.015258660465478897,0.00014191605856467504,6.461045593823655e-05,0.010646221227943897,0.007501939141657203,0.035546774528920654,0.0013276922516524791,0.00012595642874657642
0.011220165323466062,0.0003485388747503748,0.01252004949375987,8.61233187453081e-05,0.00023248613437317544,0.008653136901557446,0.006735813246341422,0.028008670806884767,0.0009224736550822854,0.00018698578162002378
