Timestamp,Speed,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,ServingCell_Distance
2017.12.14_07.32.37,60,-92,-11,19,11,-77,54164,1058,2230.41
2017.12.14_07.32.38,60,-92,-11,19,13,-80,40720,828,2230.41
2017.12.14_07.32.39,60,-98,-10,19,13,-80,43237,749,2230.41
2017.12.14_07.32.40,60,-98,-10,19,13,-80,34771,690,2230.41
2017.12.14_07.32.41,60,-93,-10,22,15,-76,35766,682,2230.41
2017.12.14_07.32.42,60,-93,-10,22,15,-76,29570,532,2230.41
2017.12.14_07.32.44,60,-92,-7,23,13,-72,29451,586,2230.41
2017.12.14_07.32.45,60,-92,-7,23,15,-69,24381,448,2230.41
2017.12.14_07.32.46,60,-100,-7,22,12,-83,24437,441,2230.41
2017.12.14_07.32.47,60,-100,-7,22,12,-86,25790,470,2230.41
2017.12.14_07.32.48,60,-105,-8,18,11,-88,25969,479,2230.41
2017.12.14_07.32.49,60,-105,-8,18,11,-91,26058,467,2230.41
2017.12.14_07.32.50,60,-105,-9,15,12,-88,27199,489,2230.41
2017.12.14_07.32.51,60,-105,-9,15,12,-88,29458,528,2230.41
2017.12.14_07.32.52,60,-100,-8,18,11,-83,34961,632,2230.41
2017.12.14_07.32.53,60,-100,-8,18,11,-83,41302,745,2230.41
2017.12.14_07.32.55,60,-100,-11,17,7,-83,38540,702,2230.41
2017.12.14_07.32.56,60,-100,-11,17,6,-87,13756,250,2230.41
2017.12.14_07.32.57,60,-102,-12,9,10,-85,36851,873,2230.41
2017.12.14_07.32.58,60,-102,-12,9,11,-87,42745,782,2230.41
2017.12.14_07.32.59,60,-98,-11,13,12,-81,55640,1098,2230.41
2017.12.14_07.33.00,60,-98,-11,13,9,-86,38528,710,2230.41
2017.12.14_07.33.01,60,-99,-12,15,11,-82,38987,703,2230.41
2017.12.14_07.33.02,60,-99,-12,15,9,-87,38249,809,2230.41
2017.12.14_07.33.03,60,-107,-12,12,9,-90,27803,520,2230.41
2017.12.14_07.33.04,60,-107,-12,12,7,-85,24712,462,2230.41
2017.12.14_07.33.06,60,-102,-12,11,6,-83,23262,404,2230.41
2017.12.14_07.33.07,60,-102,-12,11,12,-83,41544,743,2230.41
2017.12.14_07.33.08,60,-93,-12,10,9,-76,37880,690,2230.41
2017.12.14_07.33.09,60,-93,-12,10,9,-76,22994,429,2230.41
2017.12.14_07.33.10,60,-89,-11,9,12,-76,47297,856,551.45
2017.12.14_07.33.11,60,-89,-11,9,12,-78,41914,744,551.45
2017.12.14_07.33.12,60,-95,-10,13,10,-83,46983,849,551.45
2017.12.14_07.33.13,60,-95,-10,13,13,-78,48471,835,551.45
