Time,Min,Memory Usage,CPU Frequency,CPU Load,Wi-Fi State,Wi-Fi RSSI Level,Screen Bright,Battery,GPS State,Quality,Download,Upload,,,,
800091,00:13:20,1824048,1248000,40,3,-63,4,69,1,720,820,11,,,,
810082,00:13:30,1797584,1248000,40,3,-64,4,68,1,720,820,11,,,,
820073,00:13:40,1796280,1586000,40,3,-57,4,68,1,720,820,11,,,,
830062,00:13:50,1777240,1144000,40,3,-64,4,68,1,720,820,11,,,,
840049,00:14:00,1819472,1248000,40,3,-61,4,68,1,720,820,11,,,,
850084,00:14:10,1817856,1352000,40,3,-66,4,68,1,720,820,11,,,,
860073,00:14:20,1808320,1248000,40,3,-66,4,68,1,720,820,11,,,,
870061,00:14:30,1823692,1248000,40,3,-55,4,68,1,720,820,11,,,,
880061,00:14:40,1820580,1586000,40,3,-59,126,66,1,720,966,9,,,,
890061,00:14:50,1824912,1248000,40,3,-59,126,66,1,720,966,9,,,,
900061,00:15:00,1827128,1586000,40,3,-59,126,66,1,720,966,9,,,,
910061,00:15:10,1791924,1586000,40,3,-59,126,66,1,720,966,9,,,,
920061,00:15:20,1812620,902000,40,3,-59,126,66,1,720,966,9,,,,
930061,00:15:30,1853900,1248000,40,3,-59,126,66,1,720,966,9,,,,
940061,00:15:40,1802200,1586000,40,3,-71,126,66,1,720,966,9,,,,
950061,00:15:50,1806848,902000,40,3,-58,126,66,1,720,966,9,,,,
960061,00:16:00,1824152,757000,40,3,-66,126,66,1,720,966,9,,,,
970061,00:16:10,1802228,1586000,40,3,-63,126,66,1,720,966,9,,,,
980061,00:16:20,1809024,1482000,40,3,-63,126,66,1,720,966,9,,,,
990061,00:16:30,1824328,676000,40,3,-65,126,66,1,720,966,9,,,,
1000061,00:16:40,1786552,839000,40,3,-57,126,66,1,720,966,9,,,,
1010061,00:16:50,1781432,902000,40,3,-64,126,66,1,720,966,9,,,,
1020061,00:17:00,1820784,1144000,40,3,-63,126,66,1,720,966,9,,,,
1030061,00:17:10,1823280,902000,40,3,-63,126,66,1,720,966,9,,,,
1040061,00:17:20,1803576,1482000,40,3,-64,126,66,1,720,966,9,,,,
1050061,00:17:30,1775072,902000,40,3,-64,126,66,1,720,966,9,,,,
1060061,00:17:40,1795624,902000,40,3,-60,126,66,1,720,966,9,,,,
1070061,00:17:50,1812416,902000,40,3,-64,126,65,1,720,966,9,,,,
1080061,00:18:00,1824484,902000,40,3,-63,126,65,1,720,966,9,,,,
1090061,00:18:10,1826184,902000,40,3,-65,126,65,1,720,966,9,,,,
1100061,00:18:20,1824136,1586000,40,3,-63,126,65,1,720,966,9,,,,
1110061,00:18:30,1819576,1586000,40,3,-64,126,65,1,720,966,9,,,,
1120061,00:18:40,1798004,1248000,40,3,-63,126,65,1,720,966,9,,,,
1130061,00:18:50,1811720,1586000,40,3,-64,126,65,1,720,966,9,,,,
1140061,00:19:00,1808216,1586000,40,3,-62,126,65,1,720,966,9,,,,
1150061,00:19:10,1810840,1586000,40,3,-65,126,65,1,720,966,9,,,,
1160061,00:19:20,1801244,1586000,40,3,-65,126,65,1,720,966,9,,,,
1170061,00:19:30,1824880,1586000,40,3,-58,126,65,1,720,966,9,,,,
1180061,00:19:40,1825180,1144000,40,3,-67,126,65,1,720,966,9,,,,
1190061,00:19:50,1818120,902000,40,3,-60,126,65,1,720,966,9,,,,
1200061,00:20:00,1818432,902000,40,3,-60,126,65,1,720,966,9,,,,
1210061,00:20:10,1803916,902000,40,3,-65,126,65,1,720,966,9,,,,
1220061,00:20:20,1825504,676000,40,3,-59,126,65,1,720,966,9,,,,
1230061,00:20:30,1806596,1014000,40,3,-65,126,65,1,720,966,9,,,,
1240061,00:20:40,1803820,839000,40,3,-62,126,65,1,720,966,9,,,,
1250061,00:20:50,1824236,839000,40,3,-64,126,65,1,720,966,9,,,,
1260061,00:21:00,1820236,546000,40,3,-63,126,65,1,720,966,9,,,,
1270061,00:21:10,1818688,1144000,40,3,-63,126,65,1,720,966,9,,,,
1280061,00:21:20,1770128,1586000,40,3,-64,126,65,1,720,966,9,,,,
1290061,00:21:30,1798228,676000,40,3,-63,126,65,1,720,966,9,,,,
1300061,00:21:40,1804660,1352000,40,3,-63,126,65,1,720,966,9,,,,
1310061,00:21:50,1794152,902000,40,3,-67,126,65,1,720,966,9,,,,
1320061,00:22:00,1795624,902000,40,3,-62,126,65,1,720,966,9,,,,
1330061,00:22:10,1806500,1586000,40,3,-66,126,65,1,720,966,9,,,,
1340061,00:22:20,1821300,902000,40,3,-66,126,65,1,720,966,9,,,,
1350061,00:22:30,1783868,757000,40,3,-59,126,65,1,720,966,9,,,,
1360061,00:22:40,1810072,902000,40,3,-64,126,65,1,720,966,9,,,,
1370061,00:22:50,1810684,546000,40,3,-63,126,65,1,720,966,9,,,,
1380061,00:23:00,1823896,1248000,40,3,-66,126,65,1,720,966,9,,,,
1390061,00:23:10,1825660,1352000,40,3,-66,126,65,1,720,966,9,,,,
1400061,00:23:20,1817920,1586000,40,3,-61,126,65,1,720,966,9,,,,
1410061,00:23:30,1825368,1586000,40,3,-64,126,65,1,720,966,9,,,,
1420061,00:23:40,1802260,1586000,40,3,-64,126,65,1,720,966,9,,,,
1430061,00:23:50,1822952,902000,40,3,-59,126,64,1,720,966,9,,,,
1440061,00:24:00,1777812,1014000,40,3,-68,126,64,1,720,966,9,,,,
1450061,00:24:10,1805276,1586000,40,3,-62,126,64,1,720,966,9,,,,
1460061,00:24:20,1824328,902000,40,3,-62,126,64,1,720,966,9,,,,
1470061,00:24:30,1770440,902000,40,3,-65,126,64,1,720,966,9,,,,
1480061,00:24:40,1806492,902000,40,3,-59,126,64,1,720,966,9,,,,
1490061,00:24:50,1806384,757000,40,3,-64,126,64,1,720,966,9,,,,
1500061,00:25:00,1810760,902000,40,3,-64,126,64,1,720,966,9,,,,
1510061,00:25:10,1795000,839000,40,3,-59,126,64,1,720,966,9,,,,
1520061,00:25:20,1817460,902000,40,3,-65,126,64,1,720,966,9,,,,
1530061,00:25:30,1823360,902000,40,3,-63,126,64,1,720,966,9,,,,
1540061,00:25:40,1820508,1482000,40,3,-63,126,64,1,720,966,9,,,,
1550061,00:25:50,1847724,902000,40,3,-65,126,64,1,720,966,9,,,,
1560061,00:26:00,1812636,1586000,40,3,-59,126,64,1,720,966,9,,,,
1570061,00:26:10,1814708,1248000,40,3,-64,126,64,1,720,966,9,,,,
1580061,00:26:20,1819452,1586000,40,3,-59,126,64,1,720,966,9,,,,
1590061,00:26:30,1814180,1248000,40,3,-59,126,64,1,720,966,9,,,,
1600061,00:26:40,1797952,546000,40,3,-66,126,64,1,720,966,9,,,,
1610061,00:26:50,1819824,1586000,40,3,-63,126,64,1,720,966,9,,,,
1620061,00:27:00,1803576,546000,40,3,-64,126,64,1,720,966,9,,,,
1630061,00:27:10,1825556,1586000,44,3,-59,255,63,1,720,823,8,,,,
1640061,00:27:20,1808472,1586000,44,3,-59,255,63,1,720,823,8,,,,
1650061,00:27:30,1803296,1586000,44,3,-59,255,63,1,720,823,8,,,,
1660061,00:27:40,1824180,1586000,44,3,-59,255,63,1,720,823,8,,,,
1670061,00:27:50,1815328,1014000,44,3,-65,255,63,1,720,823,8,,,,
1680061,00:28:00,1804940,1586000,44,3,-60,255,63,1,720,823,8,,,,
1690061,00:28:10,1828324,1586000,44,3,-73,255,63,1,720,823,8,,,,
1700061,00:28:20,1800812,902000,44,3,-73,255,63,1,720,823,8,,,,
1710061,00:28:30,1789828,676000,44,3,-63,255,63,1,720,823,8,,,,
1720061,00:28:40,1826112,757000,44,3,-63,255,63,1,720,823,8,,,,
1730061,00:28:50,1806324,757000,44,3,-63,255,63,1,720,823,8,,,,
1740061,00:29:00,1805932,902000,44,3,-65,255,63,1,720,823,8,,,,
1750061,00:29:10,1824704,1014000,44,3,-62,255,63,1,720,823,8,,,,
1760061,00:29:20,1811116,676000,44,3,-65,255,63,1,720,823,8,,,,
1770061,00:29:30,1810824,839000,44,3,-65,255,63,1,720,823,8,,,,
1780061,00:29:40,1802212,757000,44,3,-60,255,63,1,720,823,8,,,,
1790061,00:29:50,1813708,546000,44,3,-64,255,63,1,720,823,8,,,,
