Timestamp,Speed,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,ServingCell_Distance
2017.12.01_21.58.04,3,-103,-16,-1,4,-91,973,45,507.9
2017.12.01_21.58.05,3,-105,-15,-11,6,-88,2829,73,800.51
2017.12.01_21.58.06,3,-105,-15,-11,7,-86,2348,52,800.51
2017.12.01_21.58.07,3,-104,-15,-2,7,-86,5099,108,800.51
2017.12.01_21.58.08,3,-104,-15,-2,5,-90,7549,140,800.51
2017.12.01_21.58.09,3,-105,-15,-2,7,-86,8052,153,800.51
2017.12.01_21.58.11,3,-105,-15,-2,8,-84,8835,164,800.51
2017.12.01_21.58.12,3,-104,-15,-1,5,-87,190,7,800.51
2017.12.01_21.58.13,3,-104,-15,-1,5,-87,3547,94,800.51
2017.12.01_21.58.14,3,-105,-15,-5,7,-89,7884,146,800.51
2017.12.01_21.58.15,3,-105,-15,-5,8,-86,8277,203,800.51
2017.12.01_21.58.16,3,-103,-9,-2,5,-94,5357,99,800.51
2017.12.01_21.58.17,3,-103,-9,-2,5,-94,2236,42,800.51
2017.12.01_21.58.18,3,-116,-16,-3,5,-94,2706,107,800.51
2017.12.01_21.58.20,3,-116,-16,-3,4,-94,4742,88,800.51
2017.12.01_21.58.21,3,-123,-17,-5,5,-94,1800,35,800.51
2017.12.01_21.58.22,3,-123,-17,-5,4,-94,2102,78,800.51
2017.12.01_21.58.23,3,-124,-18,-6,1,-94,1778,32,800.51
2017.12.01_21.58.24,3,-124,-18,-6,5,-94,3276,64,800.51
2017.12.01_21.58.25,3,-121,-19,-7,4,-94,704,29,1145.36
2017.12.01_21.58.26,3,-121,-19,-7,4,-94,2035,67,1145.36
2017.12.01_21.58.27,3,-124,-18,-6,4,-94,1688,31,1145.36
2017.12.01_21.58.29,3,-124,-18,-6,6,-94,1129,21,1145.36
2017.12.01_21.58.30,3,-125,-19,-8,5,-94,469,14,1145.36
2017.12.01_21.58.31,3,-125,-19,-8,5,-94,1767,59,1145.36
2017.12.01_21.58.32,3,-124,-19,-8,6,-94,3019,56,1145.36
2017.12.01_21.58.33,3,-124,-19,-8,7,-94,5155,95,1145.36
2017.12.01_21.58.34,3,-119,-16,-4,7,-94,6061,112,1145.36
2017.12.01_21.58.35,3,-119,-16,-4,5,-94,2672,49,1145.36
2017.12.01_21.58.36,3,-125,-18,-3,6,-94,2180,40,1145.36
2017.12.01_21.58.37,3,-125,-18,-3,6,-94,2885,88,1145.36
2017.12.01_21.58.39,3,-125,-18,-4,6,-94,1554,58,1145.36
2017.12.01_21.58.40,3,-125,-18,-4,6,-94,1274,24,1145.36
2017.12.01_21.58.41,3,-126,-18,-5,5,-94,2225,41,1145.36
2017.12.01_21.58.42,3,-126,-18,-5,6,-94,1230,23,1145.36
2017.12.01_21.58.43,3,-126,-17,-7,5,-94,2091,39,1145.36
2017.12.01_21.58.44,3,-126,-17,-7,7,-94,1946,36,1145.36
2017.12.01_21.58.45,3,-125,-17,-5,6,-94,1140,22,1145.36
2017.12.01_21.58.46,3,-125,-17,-5,7,-94,1655,53,1145.36
2017.12.01_21.58.47,3,-124,-17,-5,6,-94,1554,46,1145.36
2017.12.01_21.58.48,3,-124,-17,-5,7,-94,1241,29,1145.36
2017.12.01_21.58.50,3,-127,-18,-6,7,-94,883,17,1145.36
2017.12.01_21.58.51,3,-127,-18,-6,7,-94,1688,53,1145.36
2017.12.01_21.58.52,3,-122,-19,-8,5,-94,1062,23,1145.36
2017.12.01_21.58.53,3,-122,-19,-8,5,-94,1755,33,1145.36
2017.12.01_21.58.54,3,-119,-19,-8,6,-94,1465,48,1145.36
2017.12.01_21.58.55,3,-119,-19,-8,6,-94,1174,21,1145.36
