QoS_bandwidth,QoS_delay,QoS_jitter,V_content,V_complexity-class,QoA_resolution,QoA-bitrate,QoA-frame_rate,QoD-cpu_mhz-avg,QoD_cpu-nbr,QoD-cpu_core-nbr,QoD_screen-resolotion,QoD_screen-mhz,QoD-ram_clock-speed,QoD_ram-size,MOS
3072,0.274,0.039,1,0,360,708.8,34.33333333,0,2,1,1024 x 600,58.8,533,1024,5
3072,0.454,0.051,1,0,480,715.6,25.33333333,565.9996946,8,4,1920 x 1200,154,1600,4096,4
2048,0.302,0.046,1,0,480,720.4,26.4,0,2,1,1024 x 600,58.8,533,1024,5
3072,0.435,0.049,1,0,360,721.2,31.86666667,707.1732461,4,2,1366 x 768,76.5,1333,4096,4
3584,0.348,0.043,1,0,480,724.2,31.66666667,565.9996946,8,4,1920 x 1200,154,1600,4096,4
2048,0.349,0.068,1,0,480,725.6,28.93333333,83.9100047,2,1,1024 x 600,58.8,533,1024,4
3072,0.499,0.018,1,0,480,733.8,31.6,0,4,2,1366 x 768,76.5,1333,4096,4
1024,0.403,0.06,2,2,360,771.2,25.13333333,126.0221419,4,2,1366 x 768,76.5,1333,4096,2
3072,0.318,0.027,1,0,360,772.2,31.86666667,609.4017305,4,2,1366 x 768,76.5,1333,4096,4
3072,0.318,0.027,1,0,360,772.2,31.86666667,609.4017305,4,2,1366 x 768,76.5,1333,4096,4
3584,0.333,0.034,2,2,480,777.8,31.93333333,218.0045871,2,1,1024 x 600,58.8,533,1024,5
1024,0.407,0.061,1,0,144,78.4,10.66666667,822.3139438,4,2,1366 x 768,76.5,1333,4096,2
1024,0.487,0.036,1,0,144,78.4,10.66666667,845.2336955,4,2,1366 x 768,76.5,1333,4096,2
1536,0.527,0.056,1,0,144,78.4,10.66666667,634.4260359,4,2,1366 x 768,76.5,1333,4096,2
1536,0.285,0.054,1,0,144,78.6,10.66666667,894.924095,8,4,1920 x 1200,154,1600,4096,2
1024,0.274,0.039,1,0,144,78.8,10.66666667,0,2,1,1024 x 600,58.8,533,1024,2
3072,0.411,0.032,2,2,360,781.4,31.93333333,631.691908,4,2,1366 x 768,76.5,1333,4096,5
3584,0.319,0.05,1,0,480,782.2,32.2,83.9100047,2,1,1024 x 600,58.8,533,1024,5
3072,0.444,0.049,2,2,360,784.6,32,0,4,2,1366 x 768,76.5,1333,4096,4
3072,0.309,0.03,2,2,480,784.6,31.93333333,707.1732461,4,2,1366 x 768,76.5,1333,4096,4
1536,0.386,0.052,1,0,240,789.8,11.4,894.924095,8,4,1920 x 1200,154,1600,4096,1
1536,0.285,0.054,1,0,144,79.2,10,848.9995419,8,4,1920 x 1200,154,1600,4096,2
1536,0.45,0.033,1,0,144,79.2,10.66666667,182.8776154,2,1,1024 x 600,58.8,533,1024,2
