Close,Volume,High_Low_Pct,Open_Close_Pct,Day_Of_Week,Month_Of_Year,Quarter_Of_Year
59095.808594,61669163792,0.018473426980700147,5.195481833728427e-05,3,4,2
59384.3125,58727860620,0.023745937105355774,0.00022055750834865852,4,4,2
57603.890625,59641344484,0.04351058372630535,1.6478383485957528e-05,5,4,2
58758.554688,50749662970,0.030524938511519235,3.948892229095853e-05,6,4,2
59057.878906,60706272115,0.03807053207515724,0.0019312357658753706,0,4,2
58192.359375,66058027988,0.031793078848613945,-0.00010055550355494533,1,4,2
56048.9375,75645303584,0.05623911543895429,0.0009095009695767477,2,4,2
58323.953125,53053855641,0.044017404753704824,4.473933710233226e-05,3,4,2
58245.003906,46655208546,0.01953339095948105,0.00015062988087635837,4,4,2
59793.234375,58238470525,0.055789613477614526,0.0008863225840507462,5,4,2
60204.964844,46280252580,0.025312244131381105,-0.0004820122572149869,6,4,2
59893.453125,51828688519,0.02791011318617463,-5.732836931001219e-05,0,4,2
63503.457031,69983454362,0.06467898620663702,0.0003196184262864907,1,4,2
63109.695313,77451779687,0.053745620958155396,-0.0005466671931926334,2,4,2
63314.011719,60954381579,0.02592402935885763,-0.0008767066166389577,3,4,2
61572.789063,84293007468,0.05599551091602444,-0.0006962034472100284,4,4,2
60683.820313,66138759198,0.036626486331945915,0.0002977137218260317,5,4,2
56216.183594,97468872758,0.15574473352271268,-0.00043755471160498164,6,4,2
55724.265625,65344865159,0.05796473148618078,-0.0007621931939995502,0,4,2
56473.03125,67849323955,0.06761896410269896,-3.368588435744546e-05,1,4,2
53906.089844,54926612466,0.05703468052879226,-0.0009086983519256719,2,4,2
51762.273438,74798630778,0.09541427841169547,-0.00043400033475930397,3,4,2
51093.652344,86668667320,0.09234328675524947,0.0009702617982019482,4,4,2
50050.867188,49014494781,0.04840208056257181,3.925692221517889e-05,5,4,2
49004.253906,46117114240,0.0709620811243231,0.0015006669245708037,6,4,2
54021.753906,58284039825,0.11125682414677508,0.000158284050067629,0,4,2
55033.117188,49448222757,0.039343760517731106,6.395296468455922e-05,1,4,2
54824.703125,48000572955,0.043410269874329055,0.0006089721803669484,2,4,2
53555.109375,46088929780,0.05146733943830494,0.0002530979426273748,3,4,2
57750.175781,52395931985,0.08980148630217959,-0.0006149196521006095,4,4,2
57828.050781,42836427360,0.024469952236296815,-3.782766270791762e-05,5,5,2
56631.078125,38177405335,0.03136137722434389,-0.00019079076997535917,6,5,2
57200.292969,51713139031,0.0420993254555609,0.00024277356424591405,0,5,2
53333.539063,68564706967,0.07562786385088643,-0.001525775364426429,1,5,2
57424.007813,69241316747,0.09330558421537527,0.00030128132220142107,2,5,2
56396.515625,69523285106,0.053822203267947955,0.0003091946338661769,3,5,2
57356.402344,68434023376,0.0593759119801152,-6.340563304843226e-05,4,5,2
58803.777344,65382980634,0.04369272710036916,0.0012518461283424537,5,5,2
58232.316406,65906690347,0.04831413048909396,0.00031863214697899284,6,5,2
55859.796875,71776546298,0.10075368294360257,-0.00022475353836494717,0,5,2
56704.574219,61308396325,0.04145662871771527,0.00017559484639709708,1,5,2
49150.535156,75215403907,0.1788144950427282,0.011900143836553995,2,5,2
49716.191406,96721152926,0.0926100981318045,-0.0006680104823151866,3,5,2
49880.535156,55737497453,0.052580598036378746,-0.0005019806207308565,4,5,2
46760.1875,59161047474,0.08519439948434701,-0.0009313645502383431,5,5,2
46456.058594,64047871555,0.1309429604735799,-0.0008644761784675428,6,5,2
43537.511719,74903638450,0.10463286387353936,-0.0011358739405958837,0,5,2
42909.402344,56187365084,0.08130283837699348,0.00082905417126997,1,5,2
37002.441406,126358098747,0.41929575580624223,-0.006723162784595538,2,5,2
40782.738281,88281943359,0.21147608178316807,-0.004555580861684127,3,5,2
37304.691406,82051616861,0.25450985915100166,0.0017783244278314003,4,5,2
37536.632813,57377273240,0.09742827042983632,-0.00013809427248891122,5,5,2
34770.582031,78469274361,0.22614410773631322,-0.002019487333786817,6,5,2
38705.980469,67359584098,0.15293467768271415,0.002320075086895691,0,5,2
38402.222656,56211915803,0.0873372610706915,-0.00024992449228712936,1,5,2
39294.199219,51346735160,0.07587861119075379,0.0005774747023989759,2,5,2
38436.96875,43210968721,0.08407761637359587,0.0018241105706338536,3,5,2
35697.605469,55200191952,0.11725251176759356,-0.0003767540938195779,4,5,2
34616.066406,45231013335,0.10508036150087202,-0.00025017735690780374,5,5,2
35678.128906,31646080921,0.08591486451932911,-0.0005475386910414146,6,5,2
37332.855469,39009847639,0.09422083522150633,-0.0010463303572488913,0,5,2
36684.925781,34639423297,0.05894999220263151,0.00040878081884436414,1,6,2
